Id,Input_1,Input_2,Input_3,Input_4,Sentence,Answer,No_ordering
pXVF8F,pXVF8F_ezt.jpg,pXVF8F_ijt.jpg,pXVF8F_kay.jpg,pXVF8F_wqp.jpg, A ribbon is slid under the package and tied in a bow.,"[4, 2, 1, 3]",False
sLN59P,sLN59P_apf.jpg,sLN59P_ixb.jpg,sLN59P_qjn.jpg,sLN59P_uvi.jpg,  The person takes the belt off the machine.,"[3, 4, 1, 2]",False
2ktTSK,2ktTSK_asj.jpg,2ktTSK_hgs.jpg,2ktTSK_kjg.jpg,2ktTSK_tcu.jpg,"The person clears snow from the car's hood, moving right as the camera slightly zooms in, then shifts to clear the windshield, revealing the glass beneath as they move left.","[2, 3, 1, 4]",False
D6lmit,D6lmit_nvp.jpg,D6lmit_nzd.jpg,D6lmit_tte.jpg,D6lmit_vej.jpg,"The camera zooms in on the roofing material as a flame appears at the seam, then shifts to a snowboard carving down a slope, blurring before transitioning into darkness.","[2, 3, 1, 4]",False
cxQDO5,cxQDO5_byc.jpg,cxQDO5_icd.jpg,cxQDO5_pho.jpg,cxQDO5_srb.jpg,"A hand moves with a tool across the slate roof as the camera tilts up, then shifts to a sealed surface with a caulking gun applying sealant near a pipe, moving right.","[4, 1, 3, 2]",False
mglKns,mglKns_axi.jpg,mglKns_bym.jpg,mglKns_ota.jpg,mglKns_rth.jpg,"The group begins to step onto the platforms, then moves into a synchronized routine, and finally lowers back down as they finish their workout.","[4, 2, 3, 1]",False
wflE61,wflE61_jjm.jpg,wflE61_jpt.jpg,wflE61_kzr.jpg,wflE61_sog.jpg,"The gardener trims the bushes before the screen shifts to a solid orange; then, a performer runs across the stage from right to left, lowering to the floor.","[2, 4, 1, 3]",False
lFgKCX,lFgKCX_asf.jpg,lFgKCX_hoc.jpg,lFgKCX_prq.jpg,lFgKCX_xzn.jpg, A guy cheers after releasing the metal ball.,"[4, 3, 1, 2]",False
vF1nFV,vF1nFV_bgh.jpg,vF1nFV_brp.jpg,vF1nFV_dup.jpg,vF1nFV_gcu.jpg,"The boat approaches, then the skier begins to glide across the water, followed by the skier making turns, and finally, the boat moves away from the scene.","[3, 1, 4, 2]",False
7DUmA4,7DUmA4_mxm.jpg,7DUmA4_pfg.jpg,7DUmA4_pmv.jpg,7DUmA4_wlq.jpg, She fills up the glass and peels lemons into the water.,"[4, 1, 3, 2]",False
dZAhhU,dZAhhU_cmu.jpg,dZAhhU_fje.jpg,dZAhhU_yos.jpg,dZAhhU_yss.jpg,"A small dog is lifted upwards and exits as the Raiders logo appears, then the shot put leaves the frame as the athlete moves backward, with the camera zooming out to show the cheering crowd.","[1, 3, 4, 2]",False
t4RSFu,t4RSFu_axm.jpg,t4RSFu_beu.jpg,t4RSFu_jsk.jpg,t4RSFu_leg.jpg,"A group of swimmers cliff dive into a body of water surrounded by onlookers, large rocks, buildings and boats, in a judged competition.","[1, 3, 4, 2]",False
VkDjzM,VkDjzM_aga.jpg,VkDjzM_ell.jpg,VkDjzM_myw.jpg,VkDjzM_uoc.jpg,"The person begins to apply a red tape to the bike handlebar, then wraps it around the handle, and finally secures it in place.","[3, 2, 4, 1]",False
4TZT5W,4TZT5W_aoi.jpg,4TZT5W_fob.jpg,4TZT5W_qhq.jpg,4TZT5W_vxa.jpg,"A yellow-gloved hand lowers a sponge into the sink, then a tool is pulled from the sink with debris as water runs above.","[4, 2, 3, 1]",False
a2BCBQ,a2BCBQ_itt.jpg,a2BCBQ_kxj.jpg,a2BCBQ_uuo.jpg,a2BCBQ_woj.jpg,"A skier moves off-screen as the scene shifts to a red text overlay, then colorful shapes disappear, revealing a man playing drums at the center.","[2, 4, 3, 1]",False
PcLk0r,PcLk0r_jcv.jpg,PcLk0r_oia.jpg,PcLk0r_qwa.jpg,PcLk0r_xlz.jpg,A man walks out onto a playing field with a large Dalmatian.,"[4, 2, 3, 1]",False
laLuXN,laLuXN_crr.jpg,laLuXN_ele.jpg,laLuXN_pxn.jpg,laLuXN_qdp.jpg, Players kick a ball and run the bases on a baseball field.,"[2, 1, 3, 4]",False
JhaSzY,JhaSzY_leg.jpg,JhaSzY_mzi.jpg,JhaSzY_nkd.jpg,JhaSzY_syr.jpg,"The scene opens with a snow castle at the Winter Carnival, then transitions to skiers enjoying the slopes, followed by a skier speaking, and finally captures a group skiing down the hill.","[1, 4, 3, 2]",False
ookaH7,ookaH7_ayr.jpg,ookaH7_dwx.jpg,ookaH7_gti.jpg,ookaH7_tux.jpg, A fire appears on the floor.,"[1, 3, 4, 2]",False
7CMvni,7CMvni_kcq.jpg,7CMvni_qwm.jpg,7CMvni_suf.jpg,7CMvni_zhg.jpg,"The orange cat moves from standing on the couch to lying in the person's lap as they trim its nails, then the black-and-white cat approaches and sits beside the person, who picks it up and starts trimming its nails.","[1, 2, 3, 4]",True
HIAqoL,HIAqoL_dei.jpg,HIAqoL_jrb.jpg,HIAqoL_oeg.jpg,HIAqoL_qhk.jpg,"The swimmer advances with increased pace and stroke rate as the camera pans left, transitioning to a water polo match where players approach the goal, followed by a dramatic title screen displaying ""MATT VS.""","[2, 1, 4, 3]",False
EkCSqF,EkCSqF_gul.jpg,EkCSqF_pyf.jpg,EkCSqF_pzd.jpg,EkCSqF_tay.jpg,The man then takes out a yardstick and begins to measure certain parts of the bike.,"[2, 4, 1, 3]",False
rUal7h,rUal7h_eil.jpg,rUal7h_mmk.jpg,rUal7h_nnz.jpg,rUal7h_vit.jpg,  A man snowboards over snow covered hill.,"[1, 2, 3, 4]",True
2NBi34,2NBi34_bhp.jpg,2NBi34_bxe.jpg,2NBi34_duy.jpg,2NBi34_nvx.jpg,"The person begins by adding ice to the glasses, then adds mint leaves, before presenting the finished drinks, which are garnished with lime slices. Finally, the drinks are showcased against a red background.","[2, 4, 1, 3]",False
KmWqF9,KmWqF9_ftq.jpg,KmWqF9_lfp.jpg,KmWqF9_uhn.jpg,KmWqF9_vne.jpg, The male tries one more time and walks to the edge of the diving board and finally jumps and does a few flips before landing in the water and then swims to the edge of the pool.,"[3, 2, 4, 1]",False
Zv3VzH,Zv3VzH_ept.jpg,Zv3VzH_fvw.jpg,Zv3VzH_heh.jpg,Zv3VzH_rvf.jpg,"The person in the first frame looks at the camera, then the second frame shows another person on the phone, followed by close-ups of their arm in the third and fourth frames.","[4, 1, 2, 3]",False
qehSKS,qehSKS_ahn.jpg,qehSKS_bit.jpg,qehSKS_urq.jpg,qehSKS_xcv.jpg,"The child begins to brush his teeth, then a woman helps him with the toothbrush, after which he holds it himself while she assists him further. Finally, he continues brushing with her nearby.","[1, 4, 2, 3]",False
gYuFiO,gYuFiO_dyk.jpg,gYuFiO_gcy.jpg,gYuFiO_ocx.jpg,gYuFiO_por.jpg, The lady makes frosting in the mixer and puts frosting in between the layers of cake and on top.,"[3, 1, 2, 4]",False
orQkyt,orQkyt_inb.jpg,orQkyt_mge.jpg,orQkyt_myp.jpg,orQkyt_xdn.jpg,Two men are long boarding down a hill.,"[4, 1, 2, 3]",False
nuMSRK,nuMSRK_ieo.jpg,nuMSRK_nup.jpg,nuMSRK_unb.jpg,nuMSRK_vds.jpg,"The person kneels by the hole, then reaches into it to catch a fish, and finally stands up, holding the fish triumphantly.","[3, 1, 2, 4]",False
WwxFHu,WwxFHu_dol.jpg,WwxFHu_epm.jpg,WwxFHu_rix.jpg,WwxFHu_xhd.jpg,A woman is pushed off the ledge.,"[1, 4, 2, 3]",False
4o1hog,4o1hog_jyo.jpg,4o1hog_jzo.jpg,4o1hog_ozn.jpg,4o1hog_zxf.jpg,"The woman sprays cleaner on the chair's back and wipes with a cloth, as the camera zooms in; then, a box is partially wrapped using feet, moving left, as the camera zooms out to reveal a Christmas tree.","[2, 3, 1, 4]",False
t7hgG6,t7hgG6_atd.jpg,t7hgG6_uqg.jpg,t7hgG6_ybu.jpg,t7hgG6_zgz.jpg, A couple starts dancing across the floor.,"[4, 3, 2, 1]",False
PjWuch,PjWuch_aeh.jpg,PjWuch_fbq.jpg,PjWuch_fbs.jpg,PjWuch_myn.jpg," A man ascends from the water, begins water boarding, and does flips.","[2, 1, 4, 3]",False
sG6UaO,sG6UaO_gyr.jpg,sG6UaO_kve.jpg,sG6UaO_upb.jpg,sG6UaO_xvc.jpg,"A hand moves away, leaving tools on a towel, then the wrapped gift is rotated upright as the person folds the paper, with scissors and tape appearing on the table.","[1, 2, 4, 3]",False
YGB5ZA,YGB5ZA_jgl.jpg,YGB5ZA_tff.jpg,YGB5ZA_wzd.jpg,YGB5ZA_yvx.jpg,"The marching band exits left as the camera remains stationary, then the view shifts right to reveal a pool area beyond the freshly painted fence.","[4, 1, 3, 2]",False
8Od6K5,8Od6K5_crb.jpg,8Od6K5_gda.jpg,8Od6K5_qdw.jpg,8Od6K5_siv.jpg,"The marimba player lifts her mallets to play, then the scene shifts to saxophonists performing as the camera zooms out to reveal the audience.","[3, 4, 2, 1]",False
i5CK6g,i5CK6g_enu.jpg,i5CK6g_hcm.jpg,i5CK6g_hhv.jpg,i5CK6g_npr.jpg,"The scene shifts from vibrant underwater coral to a promotional video screen with thumbnails, then transitions to a windsurfer descending as the sail tilts more vertically over the water.","[2, 4, 1, 3]",False
wcKHHd,wcKHHd_gdp.jpg,wcKHHd_jal.jpg,wcKHHd_pul.jpg,wcKHHd_rjk.jpg,"The mixture is spread on bread, then ingredients like bacon and lettuce are prepared, followed by cooking the bacon, and finally, the sandwiches are placed on a dish.","[3, 4, 2, 1]",False
D2bOam,D2bOam_ikt.jpg,D2bOam_lue.jpg,D2bOam_plg.jpg,D2bOam_ron.jpg, He flips the bologna to fry it on both sides.,"[4, 1, 2, 3]",False
ziLhBW,ziLhBW_doj.jpg,ziLhBW_ipi.jpg,ziLhBW_ujs.jpg,ziLhBW_xyh.jpg, He sets his tennis racket down on the ground.,"[2, 3, 4, 1]",False
HIjqae,HIjqae_gqw.jpg,HIjqae_igp.jpg,HIjqae_qip.jpg,HIjqae_vhp.jpg,A large black dog is walking down the street.,"[4, 1, 3, 2]",False
3g01Rx,3g01Rx_klx.jpg,3g01Rx_uwr.jpg,3g01Rx_xcr.jpg,3g01Rx_ycb.jpg,"The athlete stands in the throwing area, shifts left as the camera zooms out, then bends forward and releases the shot put, which moves upward and away.","[1, 4, 3, 2]",False
61RKDz,61RKDz_fmq.jpg,61RKDz_ioy.jpg,61RKDz_mfo.jpg,61RKDz_qus.jpg,"The man examines the object closely, then begins to slice it with a knife, continuing to cut as he focuses intently on his task.","[3, 4, 1, 2]",False
bo5V5m,bo5V5m_myp.jpg,bo5V5m_sbe.jpg,bo5V5m_vfr.jpg,bo5V5m_vwv.jpg,"A spatula spreads frosting on the cake, followed by a ruler and knife preparing to cut, then a small object on a plate ignites, producing a flame that rises upward.","[1, 2, 3, 4]",True
7RTgZS,7RTgZS_niv.jpg,7RTgZS_tys.jpg,7RTgZS_vdm.jpg,7RTgZS_wmp.jpg,"A skater in purple moves past cones as another in black approaches, then a skateboarder glides off a path, and the camera tilts up to reveal a tree in an open area.","[4, 2, 3, 1]",False
KYrdRN,KYrdRN_jtk.jpg,KYrdRN_lwr.jpg,KYrdRN_von.jpg,KYrdRN_zmj.jpg,"The man in the gray shirt raises his arm to serve, then turns to face his teammates, points towards the ceiling, and finally walks towards the net.","[1, 2, 3, 4]",True
IG0Ita,IG0Ita_dyo.jpg,IG0Ita_inb.jpg,IG0Ita_raz.jpg,IG0Ita_wlg.jpg,"Two players move towards the back wall, one shifting right as the other turns forward, then the scene shifts to a gym where the camera zooms in on two players with balls moving to the center as others leave.","[3, 1, 2, 4]",False
XkzZSC,XkzZSC_dpv.jpg,XkzZSC_ksa.jpg,XkzZSC_pnp.jpg,XkzZSC_uwv.jpg,"The performance begins with musicians playing saxophones, then transitions to a wide shot of the audience, followed by credits that appear over a nighttime cityscape.","[3, 4, 2, 1]",False
LcvLhL,LcvLhL_dbq.jpg,LcvLhL_qgo.jpg,LcvLhL_ukp.jpg,LcvLhL_vdy.jpg,"A hairbrush, once held upright, lies flat as a comb cleans its bristles; a barber transitions from combing a client's hair to spraying it with product for a finished look.","[3, 1, 2, 4]",False
QEr89T,QEr89T_hsm.jpg,QEr89T_nbj.jpg,QEr89T_oef.jpg,QEr89T_qmy.jpg,"A person leans over the ice hole as others gather around, then kneels to reach into the hole, pulling out a fish while the camera tilts down slightly.","[2, 1, 4, 3]",False
Y0W89w,Y0W89w_ehl.jpg,Y0W89w_ivx.jpg,Y0W89w_mky.jpg,Y0W89w_orw.jpg,"The hands begin to section the hair, then move to braid it, followed by twisting the strands together, and finally securing the braid with a clip.","[2, 3, 1, 4]",False
pv1iHw,pv1iHw_ahu.jpg,pv1iHw_dco.jpg,pv1iHw_dmn.jpg,pv1iHw_sst.jpg, He then runs down the mat and performs flips.,"[3, 2, 4, 1]",False
hd7A2m,hd7A2m_aot.jpg,hd7A2m_dar.jpg,hd7A2m_fry.jpg,hd7A2m_ukh.jpg,We see a girl with a braid then shaking  loose curls in her hair.,"[2, 4, 3, 1]",False
MmCw3l,MmCw3l_ekl.jpg,MmCw3l_ewh.jpg,MmCw3l_lbi.jpg,MmCw3l_lfl.jpg, Two people carrying their surfboards are climbing on the stairs.,"[3, 2, 1, 4]",False
4bECig,4bECig_clo.jpg,4bECig_mop.jpg,4bECig_zwf.jpg,4bECig_zws.jpg, The man backs the horse up a bit and then takes off chasing a calf and roping him and tying him down.,"[1, 4, 3, 2]",False
Um6WDG,Um6WDG_fkq.jpg,Um6WDG_gem.jpg,Um6WDG_prr.jpg,Um6WDG_xqu.jpg,"The cheerleaders transition from elevated stunts to a ground-level synchronized pose as the camera slightly zooms out, then descend from pyramid formations to form a wide, synchronized pose on the mat.","[3, 4, 2, 1]",False
F5Dx8c,F5Dx8c_akv.jpg,F5Dx8c_chg.jpg,F5Dx8c_gya.jpg,F5Dx8c_nap.jpg, The wave knocks him off his board into the water.,"[3, 1, 4, 2]",False
nv5gHQ,nv5gHQ_cnv.jpg,nv5gHQ_fxc.jpg,nv5gHQ_hrl.jpg,nv5gHQ_inc.jpg, The man boils milk and adds fresh vanilla and pours the solution into a bowl with other ingredients.,"[1, 3, 4, 2]",False
Zpaozn,Zpaozn_dfh.jpg,Zpaozn_oga.jpg,Zpaozn_pkx.jpg,Zpaozn_qss.jpg, A skier comes down a hill makes a jump over stones and falls and rolls on the snow.,"[2, 3, 4, 1]",False
RLwFgU,RLwFgU_bzu.jpg,RLwFgU_kvz.jpg,RLwFgU_nkm.jpg,RLwFgU_toj.jpg,"A person trims a hedge from a platform on a lawn mower as children watch below, then a girl climbs onto a camel, stands up, and walks confidently along the adjacent platform.","[4, 2, 3, 1]",False
jJJoPg,jJJoPg_dfh.jpg,jJJoPg_ewe.jpg,jJJoPg_lpy.jpg,jJJoPg_wup.jpg,"The bartender fills a blender with green liquid and lemon slices, then pours whiskey into ice-filled glasses with lemon slices as the camera zooms out to reveal two people standing by the drinks.","[1, 2, 3, 4]",True
K4Pk0q,K4Pk0q_hto.jpg,K4Pk0q_jzn.jpg,K4Pk0q_vdz.jpg,K4Pk0q_vni.jpg,"The eyeliner tool exits left as the camera zooms in on the eye, then hands move upward to secure more hair sections into an updo.","[3, 2, 4, 1]",False
7uv0AL,7uv0AL_fct.jpg,7uv0AL_fpd.jpg,7uv0AL_iof.jpg,7uv0AL_xnt.jpg,"The person raises their hand to gather their hair, looking down, while the woman sits as the tattoo artist starts on her arm, and the camera zooms in on her face as she describes the distracting sensation.","[4, 3, 2, 1]",False
DOqka0,DOqka0_eby.jpg,DOqka0_ilb.jpg,DOqka0_uci.jpg,DOqka0_wqq.jpg,"Metal pieces are arranged on a table as the camera zooms in on ""Tack Weld Placement,"" then a metal tool moves from the ground to the car wheel, focusing on securing a lug nut.","[4, 3, 2, 1]",False
gXwLpm,gXwLpm_epv.jpg,gXwLpm_hzg.jpg,gXwLpm_kcc.jpg,gXwLpm_zol.jpg,"The girl smiles as she prepares for her ear piercing, then the technician approaches with the piercing tool, and finally, she reacts positively after the procedure.","[4, 1, 2, 3]",False
pDbV4M,pDbV4M_blx.jpg,pDbV4M_can.jpg,pDbV4M_ouv.jpg,pDbV4M_xiz.jpg, A guy tosses a ball into a goal.,"[4, 2, 3, 1]",False
dvak66,dvak66_heu.jpg,dvak66_kcq.jpg,dvak66_oeg.jpg,dvak66_rmi.jpg,"The young man solves a Rubik's Cube blindfolded as the camera zooms out, then a stylist cuts hair, revealing the client's face in the mirror while the camera zooms out to show more of the salon environment.","[4, 1, 3, 2]",False
8rcss8,8rcss8_bfm.jpg,8rcss8_cxf.jpg,8rcss8_isa.jpg,8rcss8_rfh.jpg, then she begins clipping a brown cat's nails.,"[1, 3, 4, 2]",False
fJgVaY,fJgVaY_afv.jpg,fJgVaY_glu.jpg,fJgVaY_omh.jpg,fJgVaY_xxu.jpg,"The artist refines the orange's highlights and shading with precise brushstrokes, then shifts focus to the foreground grass, adding texture before the scene transitions to a text screen inviting viewers to explore the complete painting.","[2, 4, 3, 1]",False
ZbfelC,ZbfelC_pul.jpg,ZbfelC_qbv.jpg,ZbfelC_qis.jpg,ZbfelC_swf.jpg,"The text fades as sailors launch a boat into the water; the sailboat then moves left, splashing waves, and reveals another boat on the right as the camera pans.","[2, 4, 3, 1]",False
q8RYZT,q8RYZT_chf.jpg,q8RYZT_hat.jpg,q8RYZT_olb.jpg,q8RYZT_znc.jpg,"The chef begins to add ingredients to the pan, then moves to stir the mixture while others prepare nearby, and finally, they all focus on the cooking process together.","[3, 2, 1, 4]",False
fIpfTT,fIpfTT_hnb.jpg,fIpfTT_hqp.jpg,fIpfTT_iyc.jpg,fIpfTT_zet.jpg, The camera catches another slide down the slope from a first person perspective while spinning.,"[4, 2, 1, 3]",False
I9flmf,I9flmf_dhb.jpg,I9flmf_pih.jpg,I9flmf_qrz.jpg,I9flmf_ros.jpg,  An image of the plants in fruit bearing months appears before returning to the man in the field pruning the dead branches.,"[1, 2, 4, 3]",False
1PSjxy,1PSjxy_axw.jpg,1PSjxy_eka.jpg,1PSjxy_gxv.jpg,1PSjxy_ohb.jpg,"The ruler is removed as a hand tightens a nut on the rear wheel, then the bike tire is separated from the rim and held while a patch is prepared for application.","[1, 3, 4, 2]",False
Fccet6,Fccet6_cir.jpg,Fccet6_hex.jpg,Fccet6_upc.jpg,Fccet6_yaz.jpg,A person in a protective white suit and goggles sprays a surface with purple paint using a spray gun in a room with white walls and floors.,"[2, 4, 1, 3]",False
MqFQCb,MqFQCb_apl.jpg,MqFQCb_bop.jpg,MqFQCb_qjg.jpg,MqFQCb_ykv.jpg,"The barber begins by gently massaging the client's beard, then moves to prepare a shaving cream, applies it to the client's face, and finally shaves with precision.","[3, 1, 2, 4]",False
zTWieC,zTWieC_phg.jpg,zTWieC_tjw.jpg,zTWieC_vrr.jpg,zTWieC_xtl.jpg,"The braid extends downward as hands weave lower, then hair is twisted upward and secured, forming a structured updo.","[4, 2, 3, 1]",False
Yl7uIN,Yl7uIN_chq.jpg,Yl7uIN_hgk.jpg,Yl7uIN_qkq.jpg,Yl7uIN_xzd.jpg,"The person leans over the ice hole, obscuring the fishing rod, then the scene shifts to a person shoveling snow, moving the shovel from right to left as they step away from the cleared area.","[3, 1, 2, 4]",False
kr0LdM,kr0LdM_ivt.jpg,kr0LdM_pgz.jpg,kr0LdM_rvc.jpg,kr0LdM_urh.jpg,Several clips of shown of a person riding down city streets on roller blades.,"[2, 4, 3, 1]",False
0RLolM,0RLolM_aoq.jpg,0RLolM_pcy.jpg,0RLolM_qvw.jpg,0RLolM_vur.jpg,"The contact lens is pushed deeper into the eye with precise finger adjustments, then the braid extends to the right as the strands are woven together, with the camera zooming out slightly.","[1, 2, 3, 4]",True
x4Keuc,x4Keuc_crz.jpg,x4Keuc_efi.jpg,x4Keuc_hgh.jpg,x4Keuc_zdr.jpg,"The mixture is stirred as baking soda and cinnamon are added, then more flour is incorporated, creating a thicker batter as the process continues.","[2, 3, 4, 1]",False
laa3xT,laa3xT_dbz.jpg,laa3xT_fog.jpg,laa3xT_lly.jpg,laa3xT_xgb.jpg,"The flute player moves closer as the camera zooms in, then another girl lowers her flute, smiling and bending forward toward the audience.","[1, 2, 3, 4]",True
xDFSmc,xDFSmc_ekg.jpg,xDFSmc_tml.jpg,xDFSmc_ton.jpg,xDFSmc_wim.jpg,"Two people measure the floor before one stirs a bucket, then a cake is frosted and lowered from above onto a freezer shelf.","[4, 1, 2, 3]",False
eJvdCA,eJvdCA_brx.jpg,eJvdCA_dmp.jpg,eJvdCA_nre.jpg,eJvdCA_tva.jpg,"The bartender shakes a cocktail shaker, then pours a drink into a glass, followed by observing the drinks before adding more ingredients to the cocktail.","[1, 3, 2, 4]",False
9cALSg,9cALSg_dkd.jpg,9cALSg_gcc.jpg,9cALSg_imc.jpg,9cALSg_rrw.jpg,"The woman's hands move from the sanitizer dispenser to beneath the running sink water, then a tool is lifted from the sink with debris attached, followed by rinsing under flowing water as the sink remains dirty.","[4, 2, 3, 1]",False
uXEHFj,uXEHFj_bte.jpg,uXEHFj_rop.jpg,uXEHFj_stx.jpg,uXEHFj_zvx.jpg,"A person jumps off a trampoline, flips in the air, then lands on the ground, followed by another jump into the air, showcasing a continuous motion sequence.","[2, 3, 1, 4]",False
dyYCLY,dyYCLY_frg.jpg,dyYCLY_ken.jpg,dyYCLY_ldm.jpg,dyYCLY_zba.jpg,"A man kneels near an ice hole as the camera zooms in, then another person leans closer to the hole, revealing a fish, and moves towards the camera to retrieve it.","[1, 2, 4, 3]",False
m1QzxE,m1QzxE_ays.jpg,m1QzxE_pxu.jpg,m1QzxE_vzh.jpg,m1QzxE_wjg.jpg,"The rider puts on their helmet, then moves into action as they ride down a slope, jumps into the air, and finally pauses to speak against a rocky backdrop.","[3, 4, 2, 1]",False
sbsgs8,sbsgs8_kec.jpg,sbsgs8_qmn.jpg,sbsgs8_wsp.jpg,sbsgs8_yky.jpg, The man with guitar pull out a white cloth and wave it.,"[3, 4, 1, 2]",False
BP4AOa,BP4AOa_akv.jpg,BP4AOa_dfs.jpg,BP4AOa_rbh.jpg,BP4AOa_sas.jpg, He then grabs a paper towel and dries off his hands.,"[1, 2, 3, 4]",True
wsPFFS,wsPFFS_ctj.jpg,wsPFFS_jlo.jpg,wsPFFS_xla.jpg,wsPFFS_zpr.jpg,"The person in the white hoodie joins the hooded coat individual to clear snow from the car, then shifts from the car's front to the side, facing the roof directly.","[2, 3, 1, 4]",False
8Hp9SP,8Hp9SP_dix.jpg,8Hp9SP_dps.jpg,8Hp9SP_mzi.jpg,8Hp9SP_wty.jpg," Then one of the judges stands up and speaks to them, causing them to smile and be more ecstatic.","[4, 2, 3, 1]",False
0Vg9YV,0Vg9YV_bon.jpg,0Vg9YV_iew.jpg,0Vg9YV_ija.jpg,0Vg9YV_ken.jpg," Next, she applies a silver paint to the chair.","[4, 1, 2, 3]",False
7BcHpX,7BcHpX_gid.jpg,7BcHpX_mtf.jpg,7BcHpX_rlj.jpg,7BcHpX_xfe.jpg,"The person jumps over the fence, moving from left to right as the camera shifts downward, then the skater moves off the ramp to the left while the camera pans right towards the stairs.","[4, 3, 2, 1]",False
hBJ9pt,hBJ9pt_liz.jpg,hBJ9pt_rfz.jpg,hBJ9pt_wxw.jpg,hBJ9pt_xup.jpg,"The logo fades as the camera zooms out to a sunny lakeside, then a person skiing lifts a child onto their shoulders, jumping into the air as the background recedes.","[2, 3, 1, 4]",False
IwSdrX,IwSdrX_byp.jpg,IwSdrX_fel.jpg,IwSdrX_psd.jpg,IwSdrX_qim.jpg,"A brush applies shaving cream to a man's face as a woman assists, then a dog approaches a person, nuzzling closer as the camera slightly zooms in.","[1, 3, 2, 4]",False
SCYdZC,SCYdZC_cga.jpg,SCYdZC_jsg.jpg,SCYdZC_vul.jpg,SCYdZC_wcv.jpg,"A person lowers a line into a snowy hole, then moves closer to friends gathered around and sits beside a fish on the ice, as the camera zooms out to reveal more of the surroundings.","[2, 1, 4, 3]",False
v2By5C,v2By5C_ggc.jpg,v2By5C_pqo.jpg,v2By5C_tyl.jpg,v2By5C_vtg.jpg,"The mannequin's hair transitions from rollers to loose curls with a zoom on the face, then a man decorates the Christmas tree, exits, and the woman continues adding ornaments as the chair moves slightly left.","[4, 2, 3, 1]",False
SnXD7d,SnXD7d_gwt.jpg,SnXD7d_ixx.jpg,SnXD7d_oxh.jpg,SnXD7d_ppo.jpg,"The camera shifts from a close-up of boots being polished to the person's face, then transitions to a person standing still and ends on a black screen displaying text.","[1, 2, 3, 4]",True
iJG80t,iJG80t_hon.jpg,iJG80t_mkt.jpg,iJG80t_nqq.jpg,iJG80t_xqa.jpg,"The dancers transition from an open embrace to a close hold, shifting right, then the couple moves into a dynamic pose with the woman extending her leg outward and the man leaning slightly left.","[1, 2, 3, 4]",True
TTfueZ,TTfueZ_eva.jpg,TTfueZ_fil.jpg,TTfueZ_ucp.jpg,TTfueZ_xhy.jpg,"The hair strand shifts from right to left as hands move downward, then a black elastic band approaches the camera, coming into focus as the hand moves forward.","[1, 2, 4, 3]",False
