Id,Answer,margin
BlORaj,"[1, 3, 4, 2]",5.5625
Blr4jF,"[4, 1, 3, 2]",13.9375
C5fiYo,"[2, 1, 3, 4]",11.3125
CH8Auq,"[1, 3, 4, 2]",6.8125
CN5mBD,"[1, 2, 3, 4]",4.25
CU8Z16,"[1, 3, 4, 2]",8.0625
CWj5q0,"[4, 2, 3, 1]",10.4375
CYVEDi,"[4, 3, 1, 2]",2.5
CbgVj3,"[1, 2, 3, 4]",11.375
Cc3hqC,"[2, 3, 4, 1]",2.5
CfH5bx,"[2, 1, 4, 3]",9.8125
CzAQDw,"[4, 1, 3, 2]",5.6875
CzkRiH,"[4, 1, 3, 2]",0.375
D3bgXS,"[1, 2, 3, 4]",1.46875
DAiE7M,"[2, 3, 4, 1]",14.1875
DEYtaq,"[3, 1, 4, 2]",7.0
DM56Di,"[4, 1, 2, 3]",9.75
DOlsHX,"[2, 4, 1, 3]",4.9375
DSP7Xa,"[3, 4, 2, 1]",0.0625
DXGh2V,"[4, 1, 3, 2]",3.5625
Df2j0A,"[1, 2, 3, 4]",6.375
DlWpxE,"[4, 3, 1, 2]",2.75
DwDuC5,"[4, 1, 2, 3]",3.5
E2pFNm,"[2, 3, 4, 1]",14.90625
E6H0jS,"[1, 2, 3, 4]",14.875
E9O1Yk,"[3, 2, 4, 1]",11.75
EIzKAQ,"[1, 2, 3, 4]",6.0625
ET4chI,"[2, 1, 4, 3]",4.6875
EW7Wqn,"[1, 2, 4, 3]",2.375
EmUT27,"[1, 4, 3, 2]",4.75
EpfspO,"[2, 4, 1, 3]",4.25
Eprltc,"[3, 4, 1, 2]",4.25
EuUSwZ,"[4, 3, 2, 1]",7.1875
Ev7aBz,"[2, 3, 4, 1]",4.5625
Exr4Z3,"[2, 3, 1, 4]",7.21875
F7Ddd7,"[1, 3, 2, 4]",10.0
F7EYOI,"[1, 4, 3, 2]",1.5
FLm0OM,"[1, 3, 4, 2]",8.71875
FM1CAt,"[3, 2, 1, 4]",8.0625
FOraJM,"[3, 2, 4, 1]",0.75
FPHh6p,"[1, 2, 3, 4]",0.625
FQElBr,"[4, 1, 3, 2]",1.75
FQjuPo,"[3, 1, 4, 2]",1.8125
Fc0O5i,"[1, 3, 4, 2]",5.25
Fd8sEG,"[4, 1, 2, 3]",6.9375
Foj4vL,"[2, 1, 4, 3]",0.125
FrNHna,"[3, 2, 1, 4]",0.0
Frw3f6,"[4, 2, 3, 1]",16.90625
FxIaK3,"[3, 1, 2, 4]",15.4375
G6n01m,"[4, 2, 3, 1]",5.5
G70Mzy,"[2, 4, 1, 3]",3.125
G9Rbhf,"[2, 1, 4, 3]",4.4375
GDFjPd,"[4, 3, 2, 1]",4.625
GQ4LEz,"[2, 4, 1, 3]",13.375
GSVtML,"[2, 1, 3, 4]",4.75
GaMkxc,"[4, 2, 1, 3]",18.625
GbglTR,"[1, 2, 4, 3]",3.5
Ggrwtr,"[2, 4, 3, 1]",3.4375
GhVEs0,"[2, 3, 1, 4]",9.3125
Gk8nrS,"[4, 1, 2, 3]",1.375
Gn9vtD,"[4, 1, 2, 3]",6.5625
Goim1p,"[1, 2, 3, 4]",6.0
GtqaBx,"[4, 3, 1, 2]",9.5
H1phIU,"[1, 4, 2, 3]",6.500000476837158
H4LYDN,"[1, 4, 3, 2]",8.625
HApt0a,"[2, 1, 3, 4]",3.75
HEFM5M,"[4, 3, 1, 2]",10.84375
HFB3rj,"[2, 4, 1, 3]",11.0625
HPk5qW,"[1, 4, 2, 3]",2.4375
HXeI8w,"[1, 4, 3, 2]",1.125
HjoUIE,"[1, 3, 2, 4]",6.125
HmuCFD,"[3, 2, 4, 1]",13.8125
HwXvor,"[2, 1, 4, 3]",6.375
HxH6iO,"[1, 3, 2, 4]",9.40625
I9f8FF,"[4, 3, 1, 2]",1.125
IDP7Oc,"[3, 4, 2, 1]",8.4375
IJdmQ6,"[3, 2, 1, 4]",19.125
IcMrqa,"[1, 4, 2, 3]",4.8125
Imn9yG,"[3, 1, 4, 2]",3.0
IqltYx,"[4, 1, 2, 3]",3.625
IsYUNr,"[4, 2, 3, 1]",3.25
IsiDy4,"[1, 3, 2, 4]",0.125
ItaJ4O,"[1, 3, 4, 2]",12.3125
J2OzNp,"[4, 2, 3, 1]",9.25
J7bCpm,"[1, 3, 4, 2]",2.625
J7bgl2,"[4, 1, 2, 3]",5.0
JBEkNK,"[1, 2, 4, 3]",8.1875
JJL61v,"[2, 4, 1, 3]",5.875
JTQrLc,"[2, 4, 1, 3]",6.125
JiRqol,"[2, 3, 1, 4]",5.3125
JnMKGT,"[1, 2, 3, 4]",11.25
JoWj7P,"[3, 2, 1, 4]",9.1875
JwI2O1,"[3, 4, 1, 2]",0.625
JyfNX8,"[3, 2, 4, 1]",6.25
K6UGYA,"[1, 3, 4, 2]",4.125
KC7B9O,"[4, 3, 2, 1]",2.125
KHpPUv,"[2, 3, 1, 4]",4.25
KJZBsJ,"[2, 1, 4, 3]",9.5
KUAJzo,"[1, 3, 4, 2]",18.3125
KYUBdM,"[2, 4, 1, 3]",6.5625
KeIexC,"[4, 1, 2, 3]",14.5
Kk83WO,"[4, 3, 1, 2]",1.75
KuBxop,"[4, 2, 1, 3]",10.1875
Kzmhdo,"[2, 1, 4, 3]",9.9375
Kzwalc,"[4, 2, 3, 1]",1.125
L5OyYw,"[3, 4, 2, 1]",4.875
L6emIA,"[3, 2, 4, 1]",3.25
L7aCs0,"[1, 2, 3, 4]",19.75
LRHWnG,"[4, 2, 1, 3]",0.125
LcVOMS,"[2, 3, 1, 4]",2.875
LtR74Q,"[2, 4, 3, 1]",1.375
M5fwwg,"[2, 3, 4, 1]",5.0
MCI2id,"[3, 2, 1, 4]",8.25
MHmoRZ,"[4, 1, 2, 3]",0.125
MHsw72,"[3, 4, 2, 1]",1.875
MInwtg,"[4, 3, 2, 1]",8.375
MNpR1e,"[1, 3, 4, 2]",5.375
MPEoDF,"[1, 4, 2, 3]",8.62500011920929
MTwgjA,"[1, 2, 3, 4]",5.375
Mic0pR,"[3, 1, 2, 4]",5.0625
MkVe8k,"[4, 1, 3, 2]",3.375
Ms8caK,"[4, 2, 1, 3]",13.4375
Mybjsr,"[1, 3, 4, 2]",4.0625
MyfgkI,"[1, 2, 3, 4]",8.375
Mzqkaf,"[4, 2, 3, 1]",5.0
N2WKnU,"[2, 1, 4, 3]",0.75
N4ZIyX,"[2, 3, 4, 1]",1.1875
N7odo1,"[4, 2, 3, 1]",11.9375
N9kNUd,"[1, 4, 2, 3]",6.25
NDsdsA,"[2, 3, 4, 1]",7.5
NE8nHt,"[1, 2, 3, 4]",5.1875
NGEcEv,"[3, 2, 1, 4]",0.75
NS5kAJ,"[2, 4, 1, 3]",5.75
NZGVcy,"[4, 3, 2, 1]",8.875
NZmzaT,"[4, 2, 3, 1]",12.125
NcX9Gr,"[3, 4, 1, 2]",15.25
NhnYij,"[1, 2, 4, 3]",5.5
NkMj3t,"[2, 3, 1, 4]",2.5
No4L4n,"[3, 4, 2, 1]",1.25
NqLfpK,"[1, 2, 3, 4]",3.5
NsfjW8,"[1, 4, 3, 2]",0.875
NtBt60,"[4, 1, 2, 3]",20.15625
Nwxtir,"[2, 3, 4, 1]",15.6875
NyUTFe,"[3, 1, 2, 4]",3.4375
O2oJFY,"[1, 4, 2, 3]",11.375
OCAYKz,"[2, 1, 4, 3]",0.53125
OPEuBo,"[4, 3, 2, 1]",14.9375
Odqs9J,"[3, 2, 1, 4]",5.125
OgtnmS,"[1, 4, 3, 2]",1.25
OlMzd1,"[1, 2, 3, 4]",10.375
OvWPbR,"[4, 3, 2, 1]",19.90625
Ow7NBO,"[1, 2, 3, 4]",1.875
OzmlrQ,"[1, 4, 3, 2]",7.15625
P0GsWK,"[4, 2, 1, 3]",2.125
P1zBxy,"[2, 4, 1, 3]",0.875
P4wJOy,"[4, 2, 1, 3]",13.8125
P6SNfA,"[2, 1, 4, 3]",3.25
PFqCf8,"[1, 3, 2, 4]",5.5
PHr6EL,"[1, 3, 2, 4]",5.75
PI0e5U,"[1, 4, 2, 3]",8.25
PIcWhY,"[4, 2, 3, 1]",0.125
PKzW8z,"[3, 2, 4, 1]",19.40625
PQ7NPE,"[1, 3, 2, 4]",6.125
PbTFue,"[4, 3, 2, 1]",1.375
PbgyPR,"[3, 4, 1, 2]",11.375
PcaB5M,"[3, 1, 2, 4]",5.5
PdQMSG,"[3, 1, 2, 4]",2.0625
Pkgep8,"[2, 1, 4, 3]",3.875
PmktA8,"[1, 2, 3, 4]",5.5
Pnb4Ci,"[3, 2, 1, 4]",13.5625
PnykTd,"[2, 1, 3, 4]",1.5
PsGYvP,"[1, 2, 3, 4]",6.75
PvMZw9,"[4, 3, 2, 1]",14.8125
Q1C4B8,"[1, 2, 3, 4]",8.6875
Q2RhE0,"[2, 4, 3, 1]",10.3125
Q5tsaU,"[3, 4, 2, 1]",0.6249998807907104
Q8AcuC,"[1, 2, 3, 4]",5.5625
Q9XTiO,"[2, 4, 3, 1]",6.6875
QDrFr4,"[1, 3, 4, 2]",17.09375
QECFyR,"[1, 4, 2, 3]",1.125
QXoo96,"[1, 2, 4, 3]",0.40625
QhSZbL,"[1, 2, 3, 4]",7.625
Qv2g53,"[4, 2, 3, 1]",1.125
RICmV0,"[1, 2, 3, 4]",2.75
RInevj,"[3, 2, 1, 4]",3.625
RU4wSG,"[2, 4, 1, 3]",9.5625
RZU38v,"[1, 4, 2, 3]",7.3125
RagSVy,"[4, 2, 3, 1]",5.375
ReMk67,"[3, 4, 1, 2]",1.375
RifI6f,"[3, 4, 2, 1]",5.125
RkBgHm,"[1, 2, 3, 4]",2.4375
RkWmtR,"[1, 2, 3, 4]",7.3125
Rorh1C,"[1, 2, 3, 4]",1.75
RqhQq7,"[4, 1, 2, 3]",7.375
Rt6cwg,"[4, 2, 3, 1]",3.375
Ru3FNg,"[2, 3, 4, 1]",3.625
RySoAi,"[4, 2, 3, 1]",12.0625
RzY1Pc,"[1, 3, 4, 2]",2.9375
S0aQeA,"[1, 2, 4, 3]",15.75
S0cFZA,"[1, 4, 2, 3]",1.625
S3E8Td,"[4, 3, 2, 1]",0.8125
S4QoRB,"[1, 3, 2, 4]",18.8125
SH7OdP,"[4, 1, 2, 3]",5.125
SISpK4,"[1, 2, 3, 4]",6.375
SJjEDc,"[2, 4, 3, 1]",6.8125
SaJHrc,"[1, 3, 4, 2]",5.0
ScGQ3h,"[4, 2, 3, 1]",11.3125
Sdgaeb,"[2, 3, 4, 1]",9.625
Sl4f9t,"[2, 1, 4, 3]",15.15625
SokI50,"[4, 1, 2, 3]",2.625
Sqlc0B,"[1, 2, 3, 4]",13.125
SvmYxN,"[2, 3, 1, 4]",10.125
SxtlZb,"[1, 2, 3, 4]",6.625
Sy79Vu,"[3, 4, 2, 1]",15.3125
SzcuXY,"[1, 2, 3, 4]",2.0
T7pEiG,"[4, 2, 1, 3]",7.84375
TOy372,"[4, 3, 2, 1]",5.0
TTY0iR,"[1, 4, 3, 2]",8.5625
TTkzP5,"[4, 1, 3, 2]",2.6875
TcU0s2,"[2, 4, 3, 1]",6.0625
TcX8RT,"[4, 1, 2, 3]",0.9375
Tm4gK9,"[1, 2, 4, 3]",6.5
TwVBpy,"[3, 1, 4, 2]",0.875
TywXp9,"[3, 4, 1, 2]",5.125
U0ti2w,"[1, 4, 3, 2]",4.5625
UKK9oM,"[1, 2, 3, 4]",4.1875
UY2Brv,"[4, 1, 3, 2]",14.34375
Ui6d91,"[4, 1, 2, 3]",6.0
UlKPQr,"[1, 4, 3, 2]",1.375
UohAA6,"[3, 4, 1, 2]",1.0
UpUOs8,"[1, 2, 4, 3]",4.125
UqBd8m,"[2, 4, 3, 1]",7.8125
UvHIVk,"[2, 4, 3, 1]",9.375
UwdDWd,"[3, 2, 1, 4]",2.5
VAhS2V,"[3, 4, 2, 1]",4.5
VK8y9L,"[2, 3, 1, 4]",1.25
VKd5q4,"[3, 1, 4, 2]",0.5625
VKm3aD,"[1, 4, 3, 2]",9.5
VSuOIe,"[1, 2, 3, 4]",3.125
VWVBdW,"[2, 3, 1, 4]",4.375
VWdZB7,"[3, 2, 1, 4]",0.25
VeHLjj,"[4, 3, 1, 2]",4.25
VhL5Rz,"[1, 3, 4, 2]",2.9375
VrYJLb,"[1, 3, 4, 2]",0.875
VuyL8j,"[3, 2, 4, 1]",6.375
VxM3yH,"[4, 1, 3, 2]",9.3125
W2xWgZ,"[2, 1, 4, 3]",4.875
W8YO3n,"[1, 2, 4, 3]",6.0
WI8o3F,"[1, 4, 2, 3]",14.5625
WMzdLD,"[1, 4, 3, 2]",11.4375
WNlfM8,"[4, 3, 1, 2]",8.6875
WRFdlJ,"[4, 2, 1, 3]",12.40625
WYKQ6J,"[2, 1, 4, 3]",8.5625
X9G8Qr,"[3, 1, 2, 4]",7.5
XABcP9,"[3, 1, 4, 2]",2.6875
XAGvhn,"[1, 4, 3, 2]",6.4375
XAkpwE,"[4, 3, 2, 1]",2.0
XBy4YM,"[4, 2, 1, 3]",5.125
XBzKzH,"[1, 4, 3, 2]",5.5
XFNFS2,"[2, 3, 1, 4]",0.5
XGuH3q,"[1, 3, 2, 4]",2.0
XHXSAX,"[1, 3, 2, 4]",0.75
XN8XTY,"[1, 4, 2, 3]",11.84375
XOdJXa,"[1, 3, 4, 2]",3.25
XRrjsi,"[1, 2, 3, 4]",8.25
XW22EA,"[1, 2, 3, 4]",14.375
XZvneY,"[3, 1, 4, 2]",5.0
XaZUZY,"[2, 3, 4, 1]",2.375
Xd2THk,"[4, 3, 2, 1]",8.375
Xk1RJ7,"[3, 1, 4, 2]",4.875
Xl0Pjo,"[3, 2, 4, 1]",1.1875
Xp57x9,"[4, 1, 2, 3]",9.75
XqmQTD,"[3, 1, 4, 2]",0.5
XqzStG,"[1, 2, 3, 4]",3.25
Xu8yMH,"[1, 2, 3, 4]",12.3125
Y5LL3o,"[3, 2, 1, 4]",7.9375
YIF1fi,"[2, 3, 1, 4]",5.75
YPBG8e,"[2, 4, 3, 1]",0.0625
YSPJJW,"[3, 2, 1, 4]",0.375
YZuSuG,"[1, 3, 4, 2]",3.1875
YbA8BH,"[3, 1, 4, 2]",10.78125
Ye9eU3,"[3, 2, 4, 1]",5.375
YiFZoL,"[4, 2, 3, 1]",13.9375
YqNLEj,"[1, 2, 3, 4]",9.3125
YtHlYo,"[3, 2, 1, 4]",3.6875
YydAHn,"[1, 2, 3, 4]",5.125
Yyef0s,"[1, 2, 4, 3]",6.4375
Z4rmwI,"[2, 3, 4, 1]",6.75
Z8J8Uk,"[1, 4, 2, 3]",22.6875
Z9CdGI,"[3, 1, 2, 4]",0.75
ZAc3al,"[3, 1, 4, 2]",0.1875
ZCdMz1,"[4, 1, 2, 3]",4.5625
ZFxQBw,"[2, 4, 3, 1]",3.625
ZPRAi4,"[4, 1, 2, 3]",5.625
ZTgRce,"[1, 3, 4, 2]",6.6875
ZXVWcy,"[2, 1, 3, 4]",3.3125
ZYwidU,"[1, 3, 2, 4]",9.875
ZkZcuL,"[4, 1, 3, 2]",3.5625
ZkalEo,"[3, 1, 4, 2]",1.5
ZpREGE,"[2, 4, 1, 3]",9.9375
ZqYgqY,"[3, 1, 4, 2]",11.4375
ZqpKSa,"[3, 4, 1, 2]",5.25
ZsczAy,"[1, 4, 2, 3]",1.125
ZtTwCx,"[1, 3, 2, 4]",15.5625
ZxXDAZ,"[2, 3, 1, 4]",6.375
a7rmwJ,"[3, 2, 1, 4]",2.625
a90lEu,"[2, 1, 3, 4]",0.25
a94blB,"[3, 4, 2, 1]",3.25
a9r5MN,"[3, 2, 1, 4]",3.0
aCoBDe,"[3, 1, 2, 4]",9.125
aHQjMQ,"[4, 3, 1, 2]",9.1875
aHcW5I,"[1, 3, 2, 4]",0.75
aK2PKW,"[1, 4, 3, 2]",6.5
aPKUZi,"[2, 1, 3, 4]",1.75
aRWmaC,"[1, 2, 3, 4]",7.125
aTrFXQ,"[4, 2, 1, 3]",0.625
abzkll,"[3, 2, 1, 4]",1.75
avKohC,"[1, 2, 3, 4]",3.625
az6KZ3,"[2, 1, 3, 4]",5.0
azZtps,"[1, 2, 3, 4]",8.375
b3CnWj,"[1, 4, 3, 2]",4.4375
b3nayk,"[2, 3, 4, 1]",3.375
b44PjE,"[3, 1, 4, 2]",0.625
b8jnoB,"[1, 4, 2, 3]",6.65625
bBjheF,"[3, 4, 2, 1]",11.4375
bCORF4,"[3, 2, 1, 4]",13.625
bJTQKa,"[1, 2, 3, 4]",2.125
bK9Hfa,"[3, 4, 1, 2]",11.875
bUrEOo,"[1, 2, 3, 4]",8.375
bXZ1yM,"[1, 2, 3, 4]",4.0
bcJwiN,"[2, 3, 1, 4]",8.46875
beKLXF,"[1, 3, 4, 2]",3.375
bhBfxb,"[3, 4, 2, 1]",3.125
bhC2Jx,"[1, 2, 3, 4]",3.625
bkmCpC,"[3, 1, 2, 4]",9.875
br97AP,"[1, 2, 4, 3]",7.6875
bvzEsD,"[1, 2, 3, 4]",0.625
bwMwde,"[4, 1, 3, 2]",13.125
c0OZPu,"[4, 1, 3, 2]",6.375
c3QwtD,"[1, 4, 3, 2]",6.1875
c5ctVu,"[4, 3, 2, 1]",14.125
c71Uch,"[3, 2, 4, 1]",5.3125
cE9O87,"[1, 2, 3, 4]",15.65625
cMVR1R,"[3, 4, 2, 1]",5.75
cOknnY,"[1, 2, 3, 4]",10.3125
cQ1lCT,"[2, 4, 1, 3]",0.625
cQOmJj,"[3, 4, 2, 1]",7.0
cQjcp6,"[3, 2, 1, 4]",3.625
caEr5P,"[1, 4, 2, 3]",6.8125
ccwsKK,"[1, 4, 2, 3]",7.9375
cieCUR,"[2, 3, 1, 4]",5.75
clfnYZ,"[2, 1, 3, 4]",1.25
cowNGM,"[1, 3, 2, 4]",7.625
cqM3RD,"[2, 3, 1, 4]",17.1875
cvE5D8,"[1, 2, 3, 4]",4.125
cyA948,"[1, 4, 2, 3]",1.625
d8oDrG,"[1, 2, 3, 4]",1.125
dDEj1t,"[4, 3, 1, 2]",9.0
dGdcFe,"[3, 1, 2, 4]",2.125
dUGoOh,"[3, 4, 1, 2]",2.625
dZW0Kq,"[1, 3, 2, 4]",5.5
da2MIM,"[4, 2, 1, 3]",2.78125
daYiep,"[1, 2, 4, 3]",11.75
dbMIsL,"[3, 2, 4, 1]",3.75
deMx2l,"[1, 2, 3, 4]",8.875
dewTHT,"[4, 3, 1, 2]",3.875
dfeGHU,"[4, 3, 1, 2]",5.625
djjHEQ,"[2, 1, 4, 3]",3.9375
dlc4bj,"[2, 3, 4, 1]",0.875
doCtX6,"[3, 1, 2, 4]",2.4375
