id,gt,top1,top2,base_ok,triggered,override,final_ok
NGF59l,"[2, 3, 4, 1]","[2, 3, 4, 1]","[2, 4, 3, 1]",True,True,False,True
8EUNn6,"[2, 1, 3, 4]","[3, 2, 4, 1]","[4, 3, 1, 2]",False,False,False,False
LXgcsE,"[3, 1, 2, 4]","[3, 1, 2, 4]","[4, 1, 2, 3]",True,False,False,True
YA8bNK,"[1, 2, 4, 3]","[1, 2, 4, 3]","[2, 1, 4, 3]",True,True,False,True
jq2FMN,"[4, 1, 3, 2]","[1, 4, 3, 2]","[1, 4, 2, 3]",False,True,False,False
7mO0dQ,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,False,True
Ppsko6,"[3, 1, 2, 4]","[3, 1, 2, 4]","[4, 1, 2, 3]",True,False,False,True
rQKtdW,"[2, 3, 4, 1]","[2, 3, 4, 1]","[2, 4, 3, 1]",True,True,False,True
0S1Upo,"[3, 1, 4, 2]","[4, 1, 2, 3]","[4, 2, 1, 3]",False,True,True,False
nDONBs,"[3, 1, 4, 2]","[3, 2, 4, 1]","[3, 1, 4, 2]",False,False,False,False
CqBYyi,"[1, 3, 2, 4]","[1, 3, 2, 4]","[1, 2, 3, 4]",True,True,True,False
CMjeGS,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,False,True
C7IbU0,"[1, 2, 3, 4]","[2, 1, 3, 4]","[2, 3, 1, 4]",False,False,False,False
DgUC9E,"[1, 4, 3, 2]","[1, 4, 3, 2]","[1, 4, 2, 3]",True,True,False,True
Rlg7PP,"[4, 3, 1, 2]","[2, 3, 4, 1]","[3, 2, 4, 1]",False,True,False,False
7LkyI5,"[2, 1, 4, 3]","[2, 1, 4, 3]","[2, 3, 4, 1]",True,False,False,True
yaDhOs,"[1, 3, 4, 2]","[1, 3, 4, 2]","[1, 2, 4, 3]",True,False,False,True
22x4vI,"[3, 1, 2, 4]","[3, 1, 2, 4]","[3, 2, 1, 4]",True,True,True,False
X6nOFF,"[1, 4, 3, 2]","[1, 4, 3, 2]","[2, 4, 1, 3]",True,False,False,True
erDGup,"[4, 2, 1, 3]","[4, 2, 1, 3]","[4, 2, 3, 1]",True,False,False,True
2J2eC7,"[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 2, 1, 3]",True,False,False,True
zv77V1,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,False,True
CqsUem,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 3, 4, 1]",True,False,False,True
HRR7aN,"[1, 2, 3, 4]","[2, 1, 3, 4]","[2, 1, 4, 3]",False,True,False,False
LaXweM,"[3, 2, 4, 1]","[3, 2, 4, 1]","[4, 2, 3, 1]",True,False,False,True
ou8jAl,"[1, 4, 2, 3]","[2, 4, 1, 3]","[1, 4, 2, 3]",False,False,False,False
iTRP5t,"[3, 4, 2, 1]","[3, 4, 2, 1]","[2, 1, 3, 4]",True,False,False,True
Nm1Av1,"[4, 1, 3, 2]","[4, 1, 3, 2]","[3, 1, 4, 2]",True,False,False,True
SRTPnL,"[1, 2, 4, 3]","[2, 1, 4, 3]","[1, 4, 3, 2]",False,False,False,False
DMUML6,"[4, 1, 3, 2]","[1, 3, 2, 4]","[2, 3, 1, 4]",False,False,False,False
NEhdM6,"[2, 4, 1, 3]","[2, 4, 1, 3]","[2, 3, 1, 4]",True,False,False,True
vfGLuP,"[3, 1, 4, 2]","[2, 3, 1, 4]","[2, 4, 1, 3]",False,False,False,False
KLSXPN,"[2, 1, 3, 4]","[2, 1, 3, 4]","[1, 2, 3, 4]",True,True,False,True
31m7Mm,"[1, 2, 3, 4]","[2, 1, 3, 4]","[1, 2, 3, 4]",False,True,False,False
n1n4y5,"[3, 4, 1, 2]","[3, 4, 1, 2]","[3, 4, 2, 1]",True,True,False,True
xP8fHT,"[2, 4, 3, 1]","[2, 3, 4, 1]","[1, 3, 4, 2]",False,False,False,False
WZQnYP,"[4, 3, 2, 1]","[4, 3, 2, 1]","[3, 4, 2, 1]",True,True,False,True
LKMOkI,"[4, 3, 2, 1]","[4, 3, 2, 1]","[4, 3, 1, 2]",True,True,True,False
pay8QD,"[4, 3, 1, 2]","[4, 3, 1, 2]","[4, 3, 2, 1]",True,True,True,False
oO7RXU,"[2, 4, 1, 3]","[2, 4, 1, 3]","[2, 3, 1, 4]",True,False,False,True
zgF7Jz,"[2, 4, 3, 1]","[1, 3, 4, 2]","[4, 1, 2, 3]",False,False,False,False
QTRSgz,"[4, 2, 1, 3]","[4, 2, 1, 3]","[4, 1, 2, 3]",True,True,False,True
dcn6yK,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 3, 1, 4]",True,False,False,True
hBJT9q,"[3, 4, 1, 2]","[3, 2, 1, 4]","[3, 4, 1, 2]",False,False,False,False
Uyz3Di,"[3, 4, 1, 2]","[3, 4, 2, 1]","[1, 4, 3, 2]",False,False,False,False
U6j3nc,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 3, 2, 4]",True,True,False,True
PJvdDr,"[1, 2, 3, 4]","[3, 1, 2, 4]","[2, 1, 3, 4]",False,False,False,False
dmAwkm,"[4, 1, 3, 2]","[3, 4, 1, 2]","[4, 3, 1, 2]",False,True,True,False
SUf7Hm,"[1, 3, 4, 2]","[1, 3, 4, 2]","[1, 4, 3, 2]",True,True,True,False
Icloa1,"[2, 3, 4, 1]","[2, 1, 4, 3]","[1, 2, 4, 3]",False,True,False,False
267Cti,"[1, 4, 3, 2]","[1, 4, 3, 2]","[2, 4, 3, 1]",True,False,False,True
WSD3bY,"[1, 4, 2, 3]","[3, 2, 4, 1]","[2, 1, 3, 4]",False,False,False,False
K5FJrU,"[1, 2, 4, 3]","[1, 4, 2, 3]","[1, 2, 4, 3]",False,False,False,False
LAP8J1,"[1, 2, 3, 4]","[1, 3, 2, 4]","[1, 2, 3, 4]",False,True,False,False
kSE41E,"[3, 2, 4, 1]","[3, 2, 4, 1]","[3, 1, 4, 2]",True,False,False,True
HjvqOx,"[3, 4, 2, 1]","[3, 4, 2, 1]","[4, 3, 2, 1]",True,True,False,True
mhYpbs,"[2, 4, 3, 1]","[2, 4, 3, 1]","[2, 3, 4, 1]",True,True,True,False
nRsVjX,"[2, 4, 1, 3]","[4, 3, 1, 2]","[2, 4, 1, 3]",False,False,False,False
OW6Njp,"[1, 2, 3, 4]","[4, 1, 2, 3]","[3, 1, 2, 4]",False,False,False,False
diZi5g,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,False,True
X0Mz0R,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,True,False
XkS79O,"[3, 1, 2, 4]","[3, 1, 2, 4]","[4, 1, 2, 3]",True,False,False,True
HjbQ0D,"[1, 2, 3, 4]","[3, 4, 1, 2]","[4, 3, 1, 2]",False,True,False,False
oQRDsD,"[2, 1, 3, 4]","[2, 1, 3, 4]","[2, 1, 4, 3]",True,True,False,True
PP5yiY,"[3, 1, 2, 4]","[4, 2, 1, 3]","[2, 3, 1, 4]",False,False,False,False
tLTBGz,"[2, 4, 1, 3]","[3, 2, 1, 4]","[4, 2, 1, 3]",False,False,False,False
SQmEOM,"[3, 2, 4, 1]","[4, 3, 1, 2]","[2, 3, 1, 4]",False,False,False,False
ehO1qX,"[2, 1, 4, 3]","[1, 3, 4, 2]","[4, 2, 3, 1]",False,False,False,False
79YozX,"[2, 4, 1, 3]","[2, 4, 3, 1]","[3, 4, 2, 1]",False,False,False,False
9euoSM,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,False,True
I0KSxU,"[1, 3, 4, 2]","[2, 4, 3, 1]","[2, 3, 4, 1]",False,True,False,False
o9v7Ns,"[1, 2, 3, 4]","[1, 2, 4, 3]","[1, 2, 3, 4]",False,True,False,False
XFqknv,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 3, 2, 4]",True,True,True,False
VGhRnr,"[2, 3, 4, 1]","[2, 3, 4, 1]","[1, 3, 4, 2]",True,False,False,True
fqd5a4,"[2, 4, 1, 3]","[2, 4, 3, 1]","[2, 4, 1, 3]",False,False,False,False
FFXDHh,"[4, 3, 1, 2]","[3, 4, 1, 2]","[4, 3, 1, 2]",False,True,False,False
TNiykc,"[2, 1, 3, 4]","[2, 1, 3, 4]","[2, 1, 4, 3]",True,True,False,True
dfiv93,"[1, 3, 2, 4]","[1, 3, 2, 4]","[2, 3, 1, 4]",True,False,False,True
ELDoh5,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 3, 2, 4]",True,True,True,False
Gm3W9b,"[3, 4, 1, 2]","[4, 3, 2, 1]","[4, 2, 3, 1]",False,True,False,False
6oMWxw,"[2, 4, 1, 3]","[3, 4, 1, 2]","[3, 4, 2, 1]",False,True,True,False
NSVPPd,"[1, 2, 4, 3]","[1, 2, 4, 3]","[1, 2, 3, 4]",True,True,False,True
tsu2V0,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 3, 2, 4]",True,True,True,False
tWTALu,"[4, 3, 1, 2]","[4, 3, 1, 2]","[3, 4, 1, 2]",True,True,True,False
H9sabf,"[1, 3, 4, 2]","[1, 3, 4, 2]","[3, 1, 4, 2]",True,False,False,True
MxpPxI,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,False,True
wzbmBZ,"[2, 4, 1, 3]","[3, 1, 4, 2]","[3, 2, 4, 1]",False,False,False,False
beqT2k,"[2, 1, 3, 4]","[2, 1, 3, 4]","[3, 1, 2, 4]",True,False,False,True
mzDyRv,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,True,False
Rh81PW,"[2, 4, 1, 3]","[2, 4, 1, 3]","[2, 3, 1, 4]",True,False,False,True
N09Mfm,"[2, 3, 4, 1]","[2, 3, 4, 1]","[3, 4, 2, 1]",True,False,False,True
vSoNrU,"[2, 3, 1, 4]","[4, 3, 1, 2]","[4, 1, 3, 2]",False,False,False,False
MW0Cww,"[2, 1, 4, 3]","[2, 1, 3, 4]","[1, 2, 3, 4]",False,True,False,False
QqyUZ3,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,False,True
O7FRDb,"[1, 4, 3, 2]","[1, 2, 3, 4]","[1, 3, 2, 4]",False,True,False,False
sgUWjB,"[2, 4, 1, 3]","[2, 4, 1, 3]","[3, 2, 1, 4]",True,False,False,True
W0ZQvW,"[3, 4, 1, 2]","[2, 3, 1, 4]","[4, 2, 1, 3]",False,False,False,False
UJxmDR,"[3, 4, 1, 2]","[3, 4, 1, 2]","[4, 3, 1, 2]",True,True,False,True
HYvG1m,"[2, 4, 3, 1]","[4, 3, 2, 1]","[1, 3, 2, 4]",False,False,False,False
6G7jWI,"[3, 4, 1, 2]","[3, 4, 1, 2]","[2, 3, 1, 4]",True,False,False,True
VPVmcK,"[2, 4, 3, 1]","[2, 4, 3, 1]","[2, 3, 4, 1]",True,True,True,False
oQI68U,"[3, 2, 1, 4]","[3, 2, 1, 4]","[3, 1, 2, 4]",True,True,True,False
dMWfag,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,False,True
HYb6gI,"[4, 2, 3, 1]","[4, 2, 3, 1]","[3, 2, 4, 1]",True,False,False,True
0dhvxx,"[1, 2, 3, 4]","[2, 1, 3, 4]","[1, 2, 3, 4]",False,True,False,False
ROFRKO,"[2, 4, 1, 3]","[1, 4, 2, 3]","[2, 4, 1, 3]",False,False,False,False
MxJM7p,"[2, 1, 4, 3]","[2, 1, 4, 3]","[1, 2, 4, 3]",True,True,False,True
YgNQPI,"[1, 3, 4, 2]","[1, 3, 4, 2]","[2, 3, 4, 1]",True,False,False,True
1RQmRc,"[4, 3, 1, 2]","[4, 3, 1, 2]","[3, 4, 1, 2]",True,True,True,False
aHme0g,"[4, 3, 2, 1]","[1, 4, 2, 3]","[1, 4, 3, 2]",False,True,False,False
fshuf6,"[3, 1, 2, 4]","[2, 4, 3, 1]","[4, 3, 2, 1]",False,False,False,False
VgSn97,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,False,True
xUzUeZ,"[2, 4, 3, 1]","[2, 3, 4, 1]","[2, 4, 3, 1]",False,True,False,False
b0Xadt,"[2, 4, 1, 3]","[2, 4, 1, 3]","[1, 4, 2, 3]",True,False,False,True
znxzO0,"[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 3, 2, 4]",True,False,False,True
R8levu,"[1, 3, 2, 4]","[2, 3, 1, 4]","[1, 3, 2, 4]",False,False,False,False
X7cOyG,"[3, 4, 2, 1]","[4, 2, 3, 1]","[3, 2, 4, 1]",False,False,False,False
8cjTvT,"[2, 1, 3, 4]","[2, 1, 3, 4]","[3, 1, 2, 4]",True,False,False,True
OZl7WS,"[4, 2, 1, 3]","[4, 2, 1, 3]","[4, 3, 1, 2]",True,False,False,True
bKsROE,"[1, 4, 2, 3]","[2, 4, 1, 3]","[1, 4, 2, 3]",False,False,False,False
BR9IrD,"[2, 3, 4, 1]","[2, 3, 4, 1]","[2, 1, 4, 3]",True,False,False,True
2EaqeB,"[4, 3, 2, 1]","[4, 3, 2, 1]","[3, 4, 2, 1]",True,True,False,True
9Nu9fV,"[1, 3, 2, 4]","[1, 3, 2, 4]","[1, 4, 2, 3]",True,False,False,True
8UPaS1,"[1, 3, 2, 4]","[3, 1, 4, 2]","[4, 1, 3, 2]",False,False,False,False
yXG7PJ,"[2, 4, 3, 1]","[2, 4, 3, 1]","[3, 4, 2, 1]",True,False,False,True
sOHrH1,"[4, 3, 2, 1]","[4, 3, 2, 1]","[4, 3, 1, 2]",True,True,True,False
hJeoHQ,"[2, 1, 3, 4]","[2, 1, 3, 4]","[1, 2, 3, 4]",True,True,False,True
060d6p,"[3, 2, 4, 1]","[3, 2, 4, 1]","[3, 1, 4, 2]",True,False,False,True
LCsVvy,"[3, 1, 4, 2]","[3, 1, 4, 2]","[3, 2, 4, 1]",True,False,False,True
ks270T,"[2, 4, 3, 1]","[2, 4, 3, 1]","[4, 3, 2, 1]",True,False,False,True
bjXxJi,"[3, 1, 4, 2]","[4, 1, 3, 2]","[3, 1, 4, 2]",False,False,False,False
P1VeAR,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,False,True
RRj3VA,"[2, 4, 1, 3]","[3, 2, 1, 4]","[4, 3, 1, 2]",False,False,False,False
2Kuypm,"[1, 2, 3, 4]","[4, 3, 1, 2]","[1, 2, 4, 3]",False,False,False,False
5cVmsF,"[1, 2, 4, 3]","[1, 2, 4, 3]","[2, 3, 4, 1]",True,False,False,True
ng0mUP,"[2, 4, 1, 3]","[2, 4, 1, 3]","[2, 3, 1, 4]",True,False,False,True
F1DmdT,"[3, 2, 4, 1]","[1, 4, 2, 3]","[1, 3, 2, 4]",False,False,False,False
pJU05v,"[2, 3, 1, 4]","[2, 3, 1, 4]","[2, 4, 1, 3]",True,False,False,True
MO6U00,"[2, 4, 1, 3]","[2, 4, 1, 3]","[3, 4, 1, 2]",True,False,False,True
pvkByd,"[2, 1, 4, 3]","[3, 1, 4, 2]","[2, 1, 4, 3]",False,False,False,False
gJ1hfM,"[1, 3, 2, 4]","[1, 3, 2, 4]","[4, 2, 3, 1]",True,False,False,True
XdUBgX,"[3, 4, 1, 2]","[3, 4, 1, 2]","[4, 3, 1, 2]",True,True,False,True
RU41bR,"[2, 3, 4, 1]","[2, 3, 4, 1]","[1, 3, 4, 2]",True,False,False,True
pX51TM,"[1, 4, 3, 2]","[2, 4, 3, 1]","[1, 4, 3, 2]",False,False,False,False
UZQ3ei,"[4, 3, 1, 2]","[4, 3, 1, 2]","[4, 3, 2, 1]",True,True,False,True
VOnzfp,"[2, 4, 3, 1]","[2, 4, 3, 1]","[2, 3, 4, 1]",True,True,True,False
fcARdp,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,False,True
2hNse2,"[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 3, 2, 4]",True,False,False,True
CPaUl4,"[1, 2, 4, 3]","[1, 2, 3, 4]","[2, 3, 4, 1]",False,False,False,False
77miHv,"[4, 2, 3, 1]","[4, 2, 3, 1]","[3, 2, 4, 1]",True,False,False,True
H9PMiH,"[4, 3, 1, 2]","[4, 3, 1, 2]","[4, 2, 1, 3]",True,False,False,True
KwOjxg,"[4, 1, 3, 2]","[4, 1, 3, 2]","[4, 1, 2, 3]",True,True,False,True
dY71XB,"[4, 3, 2, 1]","[4, 3, 2, 1]","[3, 4, 2, 1]",True,True,True,False
r1eqZM,"[2, 1, 4, 3]","[2, 1, 4, 3]","[2, 1, 3, 4]",True,True,True,False
tHDWjR,"[3, 4, 1, 2]","[3, 4, 1, 2]","[2, 4, 1, 3]",True,False,False,True
2x7wI9,"[4, 1, 2, 3]","[1, 2, 4, 3]","[4, 1, 3, 2]",False,False,False,False
eh8mtL,"[2, 3, 1, 4]","[2, 3, 1, 4]","[3, 2, 1, 4]",True,True,True,False
uFmrbb,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 3, 2, 4]",True,True,True,False
FDBwk3,"[1, 3, 4, 2]","[1, 4, 2, 3]","[4, 1, 3, 2]",False,False,False,False
NFlCqR,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,True,False
A2lgbs,"[1, 4, 3, 2]","[1, 4, 3, 2]","[1, 3, 4, 2]",True,True,True,False
vVQYvF,"[1, 3, 4, 2]","[1, 3, 4, 2]","[1, 4, 3, 2]",True,True,True,False
RnwqWe,"[3, 4, 2, 1]","[3, 4, 2, 1]","[3, 4, 1, 2]",True,True,True,False
opjyL8,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,True,False
iCaODy,"[3, 2, 1, 4]","[2, 4, 1, 3]","[2, 3, 1, 4]",False,False,False,False
PD0OY4,"[4, 3, 2, 1]","[4, 3, 2, 1]","[4, 2, 3, 1]",True,True,True,False
fRcJKJ,"[1, 2, 4, 3]","[2, 1, 4, 3]","[1, 2, 4, 3]",False,True,False,False
yUmeUA,"[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 3, 2, 4]",True,False,False,True
x4WUO2,"[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 4, 3, 1]",True,False,False,True
2nXbZM,"[1, 3, 2, 4]","[3, 1, 4, 2]","[1, 3, 4, 2]",False,False,False,False
dA0n2s,"[3, 1, 4, 2]","[3, 1, 4, 2]","[4, 1, 3, 2]",True,False,False,True
hu0qz4,"[1, 4, 2, 3]","[1, 4, 2, 3]","[1, 4, 3, 2]",True,True,True,False
Ro1tzQ,"[3, 4, 2, 1]","[2, 4, 3, 1]","[1, 3, 2, 4]",False,False,False,False
cKe0Z1,"[4, 2, 3, 1]","[4, 2, 3, 1]","[3, 2, 4, 1]",True,False,False,True
hnJeWM,"[3, 4, 2, 1]","[4, 3, 1, 2]","[3, 4, 1, 2]",False,True,False,False
qaS7gG,"[2, 3, 1, 4]","[4, 1, 3, 2]","[4, 3, 1, 2]",False,False,False,False
fW1SRr,"[4, 1, 3, 2]","[4, 1, 3, 2]","[4, 2, 3, 1]",True,False,False,True
0HYflm,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,True,False
jGPVVi,"[2, 3, 4, 1]","[2, 3, 4, 1]","[3, 2, 4, 1]",True,True,False,True
1LaP7Y,"[1, 3, 4, 2]","[2, 3, 4, 1]","[3, 2, 1, 4]",False,False,False,False
RoMu6P,"[2, 1, 3, 4]","[2, 1, 3, 4]","[2, 1, 4, 3]",True,True,False,True
vtOHXd,"[4, 2, 3, 1]","[2, 3, 4, 1]","[2, 4, 3, 1]",False,True,True,False
1VO1K2,"[3, 1, 2, 4]","[3, 1, 2, 4]","[4, 1, 2, 3]",True,False,False,True
M7VHEC,"[3, 2, 1, 4]","[3, 2, 1, 4]","[2, 3, 4, 1]",True,False,False,True
F8bGoL,"[1, 3, 2, 4]","[2, 3, 1, 4]","[2, 4, 1, 3]",False,False,False,False
2guTtD,"[2, 1, 4, 3]","[2, 1, 4, 3]","[2, 1, 3, 4]",True,True,True,False
lHwhGK,"[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 1, 3, 4]",True,True,False,True
uOZs3Q,"[1, 3, 2, 4]","[1, 3, 2, 4]","[1, 4, 2, 3]",True,False,False,True
A9Cak4,"[4, 2, 3, 1]","[1, 2, 3, 4]","[1, 3, 2, 4]",False,True,False,False
poVxtE,"[2, 1, 3, 4]","[2, 1, 3, 4]","[2, 1, 4, 3]",True,True,False,True
I8rOXy,"[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 2, 1, 3]",True,False,False,True
L0gCNA,"[3, 1, 4, 2]","[1, 3, 2, 4]","[1, 3, 4, 2]",False,False,False,False
P35qK4,"[3, 2, 4, 1]","[4, 1, 2, 3]","[3, 1, 4, 2]",False,False,False,False
